category	name	tags	url	cdf_merchant_id	tenant_name	cdf_brand_id	images
dining	17Squared	club|finger food|mid range|accepts cards|chain outlet|serves alcohol-full bar|wifi|nightlife|sophisticated ambiance|contemporary decor|generic decor	http://waldorfastoria3.hilton.com/en/hotels/uae/waldorf-astoria-ras-al-khaimah-RKTWAWA/amenities/restaurants-17squared.html	1	Entertainer	DUB00001	http://dpimages.crayondata.com/high-res-image/dubai_offers/DUB00001.jpg
dining	25 Degrees North	casual dining|pakistani cuisine|biryani|mughal cuisine|indian cuisine|north indian|speciality-kebab|affordable price|accepts cards|chain outlet|delivery services|wifi|prompt service|friendly service|lassi|snacks-chaat|desserts|standard decor|contemporary decor|classy decor|food dressing	http://www.25degreesnorth.com	1	Entertainer	UAE0000819	https://dpimages.crayondata.com/high-res-image/mashreq/UAE0000819.jpg
